id,term,definition_simple,definition_technical,instructions,category,source,needs_review,aliases,related_terms,image_url,video_url,source_url,instagram_link,last_used_as_wotd,why_it_matters,related_documents,game_card_id,game_space_id,timestamp
lot,LOT,A specific piece of land that is officially mapped and can be owned.,"A parcel of land defined by metes and bounds, and identified on the city tax map.",,,iqarius_excel | AI Generated,True,,zoning|property|block|tax-lot,,,,https://www.instagram.com/unravelcodes/,,Zoning rules depend on how big your lot is and where it is located on the block.,,,,2026-01-25 23:51:53
marquee,Marquee,A permanent roof-like sign that sticks out over a theater or hotel entrance.,"A permanent roof-like structure made of metal or glass projecting over an entrance, often used for signage.",,,iqarius_excel | AI Generated,True,,canopy|awning|theater|signage,,,,,,They are heavy and hang over the public; the city requires them to be built extra strong and tested regularly.,,,,2026-01-25 23:51:53
master-electrician,Master Electrician,A highly experienced professional who is licensed by the city to manage complex electrical work.,A person licensed by the Department of Buildings to perform and supervise electrical work in the city.,,,iqarius_excel | AI Generated,True,,electrical|permit|license|contractor,,,,https://www.instagram.com/unravelcodes/,,Only a Master Electrician can pull the permits needed for major wiring projects in NYC.,,,,2026-01-25 23:51:53
master-plumber,Master Plumber,A highly experienced professional who is licensed by the city to manage complex plumbing and gas work.,"An individual licensed by the Department of Buildings to perform and supervise plumbing work, including gas piping.",,,iqarius_excel | AI Generated,True,,plumbing|lmp|gas-piping|license,,,,https://www.instagram.com/unravelcodes/,,Only a Licensed Master Plumber (LMP) can pull permits for gas lines and major plumbing systems.,,,,2026-01-25 23:51:53
material,Material,"The actual stuff buildings are made of, like concrete, steel, wood, or glass.","Any substance used in the construction, alteration, or repair of a building or structure.",,,iqarius_excel | AI Generated,True,,construction|structural|fire-safety|inspection,,,,,,The city must approve certain materials to make sure they are strong enough and won't catch fire too easily.,,,,2026-01-25 23:51:53
mechanical-demolition,Mechanical Demolition,Tearing down a building using large machines like excavators or wrecking balls.,"Demolition performed with the use of specialized mechanical equipment, subject to specific safety and engineering requirements.",,,iqarius_excel | AI Generated,True,,demolition|machinery|safety|dust-control,,,,https://www.instagram.com/unravelcodes/,,Much faster than hand demolition but requires more safety plans to protect neighbors from dust and noise.,,,,2026-01-25 23:51:53
monopole,Monopole,"A single, tall pole used to hold cell phone antennas or power lines.","A type of antenna support structure consisting of a single pole, typically used for wireless communication services.",,,iqarius_excel | AI Generated,True,,telecommunications|zoning|structural|tower,,,,,,They are easier to build than big towers but still need zoning and foundation checks to make sure they won't fall.,,,,2026-01-25 23:51:53
multiple-dwelling,Multiple dwelling,A building where three or more families live in separate apartments.,"A dwelling which is either rented, leased, let or hired out, to be occupied, or is occupied as the residence or home of three or more families living independently of each other.",,,iqarius_excel | AI Generated,True,,apartment-building|mdl|residential|dwelling-units,,,,https://www.instagram.com/unravelcodes/,,"Once a building has 3 units, it must follow much stricter safety laws than a 1 or 2 family house.",,,,2026-01-25 23:51:53
order-removed,Order Removed,When the city officially cancels a violation or stop-work order because the problem was fixed.,The administrative action of closing a violation or rescinding an order following proof of compliance.,,,iqarius_excel | AI Generated,True,,violation|certificate-of-correction|swo|compliance,,,,,,This is the final proof that your building is back in good standing with the city.,,,,2026-01-25 23:51:53
pa,PA,"Place of Assembly - a special permit for rooms where many people gather, like restaurants or clubs.","An authorization for the use of a space for the gathering of 75 or more persons for purposes such as civic, social, or religious functions.",,,iqarius_excel | AI Generated,True,,permit|fire-safety|egress|capacity,,,,https://www.instagram.com/unravelcodes/,,Required whenever more than 74 people are in one room to make sure there are enough exits and safety systems.,,,,2026-01-25 23:51:53
permit-application,Permit Application,The formal request to the city to start a construction project.,"The official request submitted to the Department of Buildings, including plans and specifications, to obtain a construction permit.",,,iqarius_excel | AI Generated,True,,filing-application|permit|dobnow|pw1,,,,https://www.instagram.com/unravelcodes/,,Gives the city all the details they need to make sure your project will be safe for you and your neighbors.,,,,2026-01-25 23:51:53
permitting,Permitting,The whole process of getting the city to approve your construction plans.,The administrative process of reviewing applications and issuing official authorizations for construction activity.,,,iqarius_excel | AI Generated,True,,permit|filing|expeditor|dob,,,,https://www.instagram.com/unravelcodes/,,Can be the longest and most confusing part of a project; doing it right saves months of time.,,,,2026-01-25 23:51:53
plan-work-approval-application,Plan/Work Approval Application,The master form used to describe a construction project to the Department of Buildings.,A comprehensive form (typically the PW1) used to file plans and work applications with the DOB.,,,iqarius_excel | AI Generated,True,,pw1|filing|permit|dob,,,,,,This form tells the city exactly what you are building and which pros are in charge of the work.,,,,2026-01-25 23:51:53
post-approval-amendment,Post Approval Amendment,A change made to a building plan after the city has already said 'yes' to the first version.,An application to modify construction documents that have already received Department of Buildings approval.,,,iqarius_excel | AI Generated,True,,paa|amendment|permit|plans,,,,https://www.instagram.com/unravelcodes/,,Allows owners to change their minds or materials without having to start the whole process over again.,,,,2026-01-25 23:51:53
posted-notice,Posted Notice,A sign that must be taped to a building or fence to tell neighbors about construction work or hearings.,A mandatory public notice required by law to be displayed at a property site regarding pending permits or land-use actions.,,,iqarius_excel | AI Generated,True,,permit|public-hearing|zoning|dob,,,,,,Gives the public a chance to see what's happening and complain if they think something is unsafe.,,,,2026-01-25 23:51:53
posters,Posters,Mandatory signs at a construction site that show safety rules and permit info.,"Required informational signage at construction sites, including the project's rendering, safety contacts, and permits.",,,iqarius_excel | AI Generated,True,,safety|permit|posted-notice|violation,,,,,,"If these signs are missing, the city can issue an 'easy' violation and fine the owner.",,,,2026-01-25 23:51:53
punchlist,Punchlist,A 'to-do list' at the very end of a project to fix small mistakes or unfinished details.,A document prepared near the end of a construction project listing work that does not conform to contract specifications.,,,iqarius_excel | AI Generated,True,,closeout-phase|contractor|inspection|final-review,,,,https://www.instagram.com/unravelcodes/,,Helps ensure the owner gets exactly what they paid for before the contractor gets their final payment.,,,,2026-01-25 23:51:53
recreational-roof,Recreational Roof,"A rooftop that is designed for people to hang out on, like a roof deck or garden.","A roof area designed and intended for use by building occupants for leisure or social activities, subject to specific loading and safety requirements.",,,iqarius_excel | AI Generated,True,,roof|deck|green-roof|zoning,,,,,,Must have strong floors and high railings to be safe for parties and gatherings.,,,,2026-01-25 23:51:53
refuse-chute,Refuse Chute,The vertical tube in high-rise buildings where you drop your trash bags.,A vertical passage in a building through which waste is dropped to a central collection point.,,,iqarius_excel | AI Generated,True,,trash|garbage|fire-safety|mechanical-systems,,,,,,Must be fire-proof and have sprinklers to prevent a trash fire from spreading through the whole building.,,,,2026-01-25 23:51:53
regulatory-review,Regulatory Review,When the city's experts check your plans to make sure they follow all the laws.,The systematic examination of project documents by governmental authorities to verify compliance with codes and standards.,,,iqarius_excel | AI Generated,True,,plan-exam|audit|dob|compliance,,,,https://www.instagram.com/unravelcodes/,,Catching mistakes on paper is much cheaper than fixing a dangerous building after it is built.,,,,2026-01-25 23:51:53
right-of-way,Right of Way,Public land used for streets and sidewalks.,"A type of easement granted or reserved over the land for transportation purposes, such as a highway, public footpath, or rail transport.",,,iqarius_excel | AI Generated,True,,property|legal|dot|sidewalk,,,,https://www.instagram.com/unravelcodes/,,You can't build your own stuff on the right-of-way without special city permission because it belongs to everyone.,,,,2026-01-25 23:51:53
safety-net,Safety Net,Large nets hung around high-rise construction sites to catch falling materials or workers.,"A net to protect people from injury after falling from heights by limiting the distance they fall, and catching falling debris.",,,iqarius_excel | AI Generated,True,,safety|construction|high-rise|dob,,,,,,A critical life-saving device that prevents accidents from becoming fatal tragedies.,,,,2026-01-25 23:51:53
scaffolds,Scaffolds,Temporary metal platforms that workers use to reach high parts of a building.,"A temporary structure on the outside of a building, made of wooden planks and metal poles, used by workers while building, repairing, or cleaning the building.",,,iqarius_excel | AI Generated,True,,construction|safety|supported-scaffold|suspended-scaffold,,,,,,They must be built and used perfectly to prevent workers from falling or the platform from collapsing.,,,,2026-01-25 23:51:53
schematic-design,Schematic Design,The first rough drawings of a building that show the basic shape and size.,"The first phase of architectural design, where the architect establishes the general scope and conceptual design of the project.",,,iqarius_excel | AI Generated,True,,design-development|architect|plans|construction-documents,,,,,,Helps the owner decide if they like the overall look of the building before spending money on detailed blueprints.,,,,2026-01-25 23:51:53
shop-drawing,Shop Drawing,Detailed drawings made by manufacturers to show how specific parts (like windows or steel beams) will be built.,"A drawing or set of drawings produced by the contractor, supplier, manufacturer, subcontractor, or fabricator.",,,iqarius_excel | AI Generated,True,,architect|construction-documents|material|contractor,,,,,,Architects must check these to make sure the parts will fit perfectly into the overall building design.,,,,2026-01-25 23:51:53
shoring,Shoring,Temporary supports used to hold up a building or a wall while work is being done underneath it.,The process of supporting a structure with shores (posts) when it is in danger of collapse or during alterations.,,,iqarius_excel | AI Generated,True,,underpinning|structural|safety|construction,,,,https://www.instagram.com/unravelcodes/,,Prevents the building from collapsing or shifting during renovations or excavations.,,,,2026-01-25 23:51:53
sidewalk,Sidewalk,The paved path for people walking next to a street.,"The portion of a street between the curb lines, or the lateral lines of a roadway, and the adjacent property lines, intended for the use of pedestrians.",,,iqarius_excel | AI Generated,True,,dot|right-of-way|maintenance|violation,,,,https://www.instagram.com/unravelcodes/,,Property owners are responsible for keeping their sidewalks clean and safe (no cracks or ice) to avoid fines and lawsuits.,,,,2026-01-25 23:51:53
smoking-ban,Smoking Ban,A law that says people cannot smoke at construction sites.,"Legal prohibitions against smoking in designated areas, particularly on construction sites where combustible materials are present.",,,iqarius_excel | AI Generated,True,,safety|fire-safety|enforcement|dob,,,,,,Prevents fires from starting in dry wood or trash and keeps the air clean for workers.,,,,2026-01-25 23:51:53
special-inspector,Special Inspector,"A highly trained expert hired to watch very important work, like pouring concrete or welding steel.",A qualified person who demonstrates competence to the satisfaction of the commissioner for the inspection of a particular type of construction or operation.,,,iqarius_excel | AI Generated,True,,inspection|structural|dob|construction,,,,,,They make sure the building's 'skeleton' is strong enough to last for a hundred years.,,,,2026-01-25 23:51:53
stalled-construction-site,Stalled Construction Site,"A construction project where work has stopped for a long time, usually because the owner ran out of money.","A construction site where work has been abandoned or suspended for a period of time, requiring specific maintenance and security measures.",,,iqarius_excel | AI Generated,True,,construction|safety|dob|maintenance,,,,https://www.instagram.com/unravelcodes/,,The city checks these sites extra carefully to make sure the fences and equipment stay safe while nobody is working.,,,,2026-01-25 23:51:53
storage,Storage,Keeping materials or equipment at a building or construction site.,The act of keeping or placing goods or materials in a warehouse or other designated area.,,,iqarius_excel | AI Generated,True,,material|fire-safety|violation|zoning,,,,https://www.instagram.com/unravelcodes/,,Storing dangerous chemicals or too much trash can be a fire risk and lead to violations.,,,,2026-01-25 23:51:53
storefront,Storefront,"The front part of a store that faces the street, usually with large windows.","The facade of a retail store on the ground floor of a commercial building, typically including display windows.",,,iqarius_excel | AI Generated,True,,commercial|zoning|signage|facade,,,,,,NYC has rules about how much of the window must stay clear so that people can see in and the street stays bright.,,,,2026-01-25 23:51:53
structural-monitoring,Structural Monitoring,Using sensors to watch if a building moves or vibrates during construction next door.,The use of various types of sensors to track the structural health and behavior of a building or structure over time.,,,iqarius_excel | AI Generated,True,,excavation|safety|vibration|structural,,,,https://www.instagram.com/unravelcodes/,,Gives an early warning if the work is starting to damage the building so that everyone can stop before it's too late.,,,,2026-01-25 23:51:53
support,Support,Anything that helps hold up a part of a building.,A structural member or system that sustains weights or loads.,,,iqarius_excel | AI Generated,True,,structural|foundation|shoring|beam,,,,https://www.instagram.com/unravelcodes/,,"If a support beam or wall is removed without a plan, the whole building can fall down.",,,,2026-01-25 23:51:53
supported-scaffold,Supported Scaffold,A scaffold that is built up from the ground using poles and pipes.,"One or more platforms supported by outrigger beams, brackets, poles, legs, uprights, posts, frames, or similar rigid support.",,,iqarius_excel | AI Generated,True,,scaffolds|construction|safety|dob,,,,,,They must be tied to the building correctly so they don't tip over in high winds.,,,,2026-01-25 23:51:53
suspended-(hanging)-scaffolds,Suspended (Hanging) Scaffolds,A scaffold that hangs from the roof on ropes or cables (like for window washers).,A platform suspended by ropes or other non-rigid means from an overhead structure.,,,iqarius_excel | AI Generated,True,,scaffolds|construction|safety|maintenance,,,,,,Every part of the cable and motor system must be tested to make sure the platform doesn't fall.,,,,2026-01-25 23:51:53
temporary-chute,Temporary Chute,A temporary tube used to slide trash down from high floors into a dumpster.,A temporary enclosed passage used during construction or demolition to convey debris to a lower level.,,,iqarius_excel | AI Generated,True,,debris|refuse-chute|safety|construction,,,,https://www.instagram.com/unravelcodes/,,Must be very strong so heavy debris doesn't break through and hit people on the sidewalk.,,,,2026-01-25 23:51:53
tenant-protection-plans,Tenant Protection Plans,A plan to keep people safe and comfortable if construction is happening in their building while they still live there.,A set of measures designed to protect the safety and health of occupants in a building where construction or alteration work is being performed.,,,iqarius_excel | AI Generated,True,,residential|safety|dob|hpd,,,,,,"Ensures that tenants still have water, heat, and safe exits even when the building is being renovated.",,,,2026-01-25 23:51:53
unlicensed,Unlicensed,A person or company doing professional work (like plumbing or electrical) without having the required city license.,Not having an official license or permission to perform a specific type of professional work.,,,iqarius_excel | AI Generated,True,,violation|contractor|master-plumber|master-electrician,,,,,,Hiring unlicensed workers is risky because they may not know the safety rules and their work could be dangerous.,,,,2026-01-25 23:51:53
vacant,Vacant,A building or land that is empty and not being used.,A building or lot that is currently unoccupied and unused.,,,iqarius_excel | AI Generated,True,,property|maintenance|hpd|safety,,,,https://www.instagram.com/unravelcodes/,,Empty buildings can attract squatters or become fire risks if they aren't boarded up and watched.,,,,2026-01-25 23:51:53
vacate-order,Vacate Order,When the city tells everyone they must leave a building immediately because it is too dangerous to stay in.,An official order from a city agency requiring all occupants to leave a building or specific portion of a building due to hazardous conditions.,,,iqarius_excel | AI Generated,True,,emergency-declaration|unsafe-building|dob|safety,,,,,,"A serious life-saving measure used after fires, structural failures, or major gas leaks.",,,,2026-01-25 23:51:53
watchperson,Watchperson,A security guard who stays at a construction site at night or on weekends.,An individual responsible for monitoring a site during non-working hours to ensure safety and security.,,,iqarius_excel | AI Generated,True,,safety|construction|protection|maintenance,,,,https://www.instagram.com/unravelcodes/,,"Required at some sites to prevent fires, stop trespassing, and watch for emergencies while workers are away.",,,,2026-01-25 23:51:53
waterfront-permits,Waterfront permits,Special permissions needed to build anything near the ocean or rivers.,"Permits required for development on or near the city's waterfront, often involving multiple city, state, and federal agencies.",,,iqarius_excel | AI Generated,True,,zoning|environmental|permit|fema,,,,,,Protects the city from flooding and makes sure the water stays clean and usable for everyone.,,,,2026-01-25 23:51:53
waterproofing,Waterproofing,Adding special layers to a building to keep rain and groundwater from leaking inside.,The process of making an object or structure waterproof or water-resistant.,,,iqarius_excel | AI Generated,True,,maintenance|building-envelope|roof|foundation,,,,https://www.instagram.com/unravelcodes/,,"Essential for preventing mold, wood rot, and structural damage caused by water.",,,,2026-01-25 23:51:53
withdrawal,Withdrawal,When an owner decides to stop a project and asks the city to cancel their permit application.,The formal retraction of an application or plan that has been filed with the Department of Buildings.,,,iqarius_excel | AI Generated,True,,permit|filing|dob|application,,,,https://www.instagram.com/unravelcodes/,,Officially stops the city from checking the plans and can sometimes get the owner a partial refund on fees.,,,,2026-01-25 23:51:53
zoning-diagram,Zoning Diagram,A drawing that shows how a new building fits within the 'box' of space allowed by zoning rules.,"A plan showing the buildable area of a lot, including all applicable yard and setback requirements.",,,iqarius_excel | AI Generated,True,,zoning|plans|dcp|bulk,,,,,,The city uses this to make sure the building won't be too tall or too close to the neighbors.,,,,2026-01-25 23:51:53
zoning-lot-certification,Zoning lot certification,A legal document proving who owns a piece of land and which zoning rules apply to it.,An official certification (often a 'Exhibit') that identifies the parties in interest for a zoning lot.,,,iqarius_excel | AI Generated,True,,zoning|property|legal|title,,,,,,Required before you can get a building permit for any major new project.,,,,2026-01-25 23:51:53
revocable-consent,Revocable consent,"A temporary permission from the city to put something on public land, like a sidewalk clock or a small planter.","A grant of a right to an individual or entity to use city property, typically for a fixed period.",,,iqarius_excel | AI Generated,True,,dot|encroachment|sidewalk|legal,,,,https://www.instagram.com/unravelcodes/,,"The city can take this permission back at any time, and you usually have to pay a yearly fee to keep the item there.",,,,2026-01-25 23:51:53
reference-standards,Reference Standards,A set of technical books and rules that explain exactly how to build things safely.,External codes and specifications that are incorporated into the building code by reference.,,,iqarius_excel | AI Generated,True,,building-code|construction|safety|engineering,,,,,,The building code refers to these standards to make sure that materials like concrete and steel are always high quality.,,,,2026-01-25 23:51:53
accessibility,Accessibility,"Making sure a building can be used by everyone, including people who use wheelchairs or have trouble seeing or hearing.","The design of products, devices, services, or environments for people with disabilities.",,,iqarius_excel | AI Generated,True,,ada|elevator|compliance|safety,,,,https://www.instagram.com/unravelcodes/,,"It's the law; buildings must have ramps, wide doors, and accessible bathrooms so that everyone can use them safely.",,,,2026-01-25 23:51:53
horizontal-safety-netting,horizontal safety netting,Safety nets that stick out from the side of a tall building to catch anything that falls.,A system of nets installed horizontally to catch falling debris or personnel at construction sites.,,,iqarius_excel | AI Generated,True,,safety-net|construction|high-rise|safety,,,,,,Protects people on the street below from falling tools or building materials.,,,,2026-01-25 23:51:53
